data,Dis,V1,V2,V3,V4,V5
11/10/2014,7.279,4.63,155.8,9.697,87.75,50.996
11/24/2014,4.615,11.926,218,9.068,89.926,38.891
12/8/2014,2.047,7.618,114.4,4.499,98.479,10.271
12/22/2014,1.482,1.728,32,8.096,91.551,29.842
1/5/2015,1.419,1.863,51.6,7.453,87.726,2.596
1/19/2015,4.424,1.141,20.2,4.939,75.36,10.413
2/2/2015,4.027,5.721,145.6,0.035,88.813,71.104
2/16/2015,4.954,4.337,103.4,3.306,88.199,42.887
3/2/2015,3.005,4.257,75.8,3.169,89.146,30.707
3/16/2015,6.007,2.263,73.6,3.789,74.53,51.831
3/30/2015,3.157,7.793,178.2,7.086,85.896,38.97
4/13/2015,1.586,2.641,58.8,11.086,65.388,12.916
4/27/2015,1.264,1.244,19.6,12.065,67.095,37.218
5/11/2015,1.638,0.835,36.2,16.182,75.15,23.18
5/25/2015,2.023,2.795,127.8,7.468,75.292,30.718
6/8/2015,0.529,0.795,33.8,21.217,74.658,34.218
6/22/2015,0.229,0.533,56.8,15.192,77.274,16.569
7/6/2015,0.048,0.135,23.2,24.161,68.792,3.444
7/20/2015,0.043,0.038,0.6,26.143,65.261,5.857
8/3/2015,0.033,0.052,20,17.572,63.14,14.568
8/17/2015,0.035,0.05,13,20.168,72.759,43.704
8/31/2015,0.024,0.021,12,23.132,74.414,15.739
9/14/2015,0.03,0.024,17.8,16.549,68.732,29.397
9/28/2015,0.95,0.034,31,10.853,77.958,9.999
10/12/2015,2.161,1.327,150.6,10.042,92.798,40.953
10/26/2015,1.745,0.828,148,9.407,90.001,39.403
11/9/2015,0.948,0.668,49.6,14.818,91.071,3.787
11/23/2015,2.113,1.551,59.2,5.689,89.455,12.316
12/7/2015,0.547,2.079,45.4,5.832,92.699,7.179
12/21/2015,0.615,0.431,2.6,7.969,94.176,1.294
1/4/2016,5.815,0.91,39.2,1.631,93.271,71.276
1/18/2016,1.235,5.796,153.8,-1.271,83.646,18.687
2/1/2016,6.898,0.957,4.2,6.444,83.086,52.748
2/15/2016,7.677,12.55,195.8,4.111,79.455,42.581
2/29/2016,5.183,4.276,244.2,3.951,89.068,71.161
3/14/2016,3.274,4.026,159,2.015,88.039,26.21
3/28/2016,1.876,3.03,45.4,7.578,82.705,28.379
4/11/2016,0.79,1.561,20.2,9.356,83.717,6.139
4/25/2016,3.403,0.689,35.8,8.753,70.095,32.568
5/9/2016,2.108,5.146,108,11.926,82.131,58.466
5/23/2016,0.958,2.244,72.4,14.018,79.595,42.904
6/6/2016,1.126,0.737,37.8,13.728,71.292,57.135
6/20/2016,0.297,1.192,64.2,14.011,79.354,16.252
7/4/2016,0.218,0.169,20.6,21.863,70.764,5.051
7/18/2016,0.098,0.322,53.2,15.34,69.762,7.514
8/1/2016,0.022,0.107,33,22.847,72.613,43.081
8/15/2016,0.018,0.02,13.2,17.767,73.613,4.733
8/29/2016,0.062,0.02,1.6,21.054,68.241,64.905
9/12/2016,0.301,0.09,34.4,17.986,77.289,77.22
9/26/2016,0.159,0.098,123.8,14.069,83.943,20.406
10/10/2016,0.916,0.171,59.8,8.646,86.173,105.364
10/24/2016,2.353,0.501,84.4,8.756,93.568,37.364
11/7/2016,5.588,3.68,157.4,10.21,90.541,65.131
11/21/2016,1.738,5.837,155,10.249,89.548,68.21
12/5/2016,0.509,1.035,18,5.319,89.381,7.471
12/19/2016,0.302,0.407,1.2,0.6,93.461,19.221
1/2/2017,0.947,0.25,8,3.554,86.902,10.618
1/16/2017,0.751,0.713,65.6,0.242,83.318,52.643
1/30/2017,9.816,0.824,35.2,1.468,92.795,17.949
2/13/2017,3.593,8.607,177.4,1.114,90.179,11.007
2/27/2017,5.681,5.252,69.6,4.128,82.622,64.279
3/13/2017,1.358,6.973,104.4,7.183,72.473,57.535
3/27/2017,0.659,1.139,14,10.231,74.129,11.305
4/10/2017,0.529,0.567,3.2,13.001,75.009,63.105
4/24/2017,1.739,0.617,32,7.661,75.473,23.752
5/8/2017,1.784,1.673,117.6,11.056,77.967,42.93
5/22/2017,0.336,0.787,48.2,13.533,78.887,16.85
6/5/2017,0.141,0.274,0.8,19.84,65.98,11.35
6/19/2017,0.072,0.128,3.6,20.113,64.86,8.412
7/3/2017,0.047,0.063,20.2,15.713,59.896,18.611
7/17/2017,0.025,0.053,0.6,18.29,56,3.287
7/31/2017,0.028,0.024,8,23.694,57.024,1.6
8/14/2017,0.02,0.031,21.8,17.386,53.235,1.511
8/28/2017,0.089,0.011,0.6,25.764,58.821,42.203
9/11/2017,0.063,0.159,92.4,15.229,68.262,31.657
9/25/2017,0.058,0.091,48.2,14.064,78.317,138.175
