data,Dis,V1,V2,V3,V4,V5
5/29/2010,0.66928,2.588,53.8,13.682,75.229,94.37
6/12/2010,0.32832,0.523,39.8,17.512,66.889,17.82
6/26/2010,0.12474,0.233,21.6,21.883,61.247,2.852
7/10/2010,0.02354,0.037,0.8,22.246,58.293,0.793
7/24/2010,0.02754,0.017,2.4,19.646,48.413,34.113
8/7/2010,0.00756,0.019,13,25.192,54.732,7.322
8/21/2010,0.03597,0.002,0.8,23.576,54.935,0.369
9/4/2010,0.10028,0.055,79.2,15.122,56.762,105.897
9/18/2010,0.049,0.06,67.4,11.394,80.051,44.04
10/2/2010,0.098,0.044,27,15.246,77.218,129.414
10/16/2010,0.737,0.17,34.8,12.043,83.577,23.134
10/30/2010,2.58115,0.962,125.2,8.954,85.055,59.1
11/13/2010,3.82739,2.035,171.6,9.733,77.984,135.16
11/27/2010,8.08758,1.602,93.4,8.438,94.277,29.978
12/11/2010,6.97164,5.975,152.2,-2.814,87.575,50.019
12/25/2010,2.22171,6.7,123.4,2.893,88.128,13.376
1/8/2011,6.2513,1.483,37.4,10.115,87.149,37.779
1/22/2011,5.34105,9.799,223.4,0.55,94.568,19.741
2/5/2011,2.9645,3.636,115.6,2.974,88.157,74.666
2/19/2011,1.86558,2.865,64.2,-0.285,86.471,106.122
3/5/2011,6.27826,2.124,66.4,1.919,88.146,89.108
3/19/2011,8.66126,4.715,194,-1.229,86.789,46.318
4/2/2011,4.23429,6.33,184.2,6.803,84.139,50.448
4/16/2011,2.075,4.326,87.4,10.603,77.375,20.778
4/30/2011,2.1949,2.098,48.2,12.465,73.827,9.862
5/14/2011,2.41824,2.274,93.4,12.767,84.354,81.721
5/28/2011,1.36773,2.331,150,5.971,72.324,24.767
6/11/2011,0.53757,1.189,30.6,15.782,70.976,13.015
6/25/2011,0.33028,0.424,6.2,17.899,64.964,65.67
7/9/2011,0.16171,0.343,52,18.994,70.265,16.871
7/23/2011,0.10904,0.131,19.8,19.86,71.488,0.816
8/6/2011,0.02604,0.168,26.2,25.349,59.107,7.308
8/20/2011,0.1417,0.031,2.4,20.793,60.449,28.21
9/3/2011,0.04848,0.021,53,17.172,73.423,3.179
9/17/2011,0.06956,0.063,28.2,14.569,73.839,16.666
10/1/2011,0.658,0.089,23.8,15.661,74.878,68.929
10/15/2011,1.12608,0.936,109,9.997,90.747,8.722
10/29/2011,1.63873,2.067,96.8,14.443,89.44,55.294
11/12/2011,9.4167,2.849,114.8,10.463,80.412,85.646
11/26/2011,2.6208,7.049,268.4,2.107,94.601,28.379
12/10/2011,1.03296,2.191,42.6,5.463,87.28,0.75
12/24/2011,6.92718,0.826,4.6,7.015,88.798,25.855
1/7/2012,5.63794,6.333,141.8,6.681,89.408,32
1/21/2012,6.28355,8.116,165,6.85,89.774,39.63
2/4/2012,7.1324,8.788,222.6,4.711,93.445,61.62
2/18/2012,3.94693,7.538,204.4,7.611,84.451,58.342
3/3/2012,3.44379,3.999,127,2.164,84.916,36.94
3/17/2012,3.06852,2.257,77,10.954,79.388,31.955
3/31/2012,2.777,4.466,130.4,8.535,75.762,9.394
4/14/2012,1.39048,2.51,50.8,10.628,78.413,37.218
4/28/2012,3.2398,1.072,29.8,12.268,77.89,97.141
5/12/2012,0.77425,2.261,93,15.293,79.259,38.23
5/26/2012,0.43491,0.614,3.2,14.558,63.821,28.133
6/9/2012,0.2601,0.317,22.4,19.844,67.44,39.155
6/23/2012,0.1827,0.253,68,18.042,73.595,23.423
7/7/2012,0.22,0.177,32.8,19.299,70.283,24.07
7/21/2012,0.2574,0.17,39,23.144,72.616,51.683
8/4/2012,0.08099,0.332,76.4,19.94,80.607,11.349
8/18/2012,0.0304,0.057,22,14.633,72.232,6.721
9/1/2012,0.39673,0.036,7.6,19.074,71.47,35.821
9/15/2012,0.4074,0.39,103.4,13.126,88.878,32.671
9/29/2012,0.22356,0.16,19.4,14.158,82.926,14.196
10/13/2012,0.33764,0.141,27,16.925,85.655,49.385
10/27/2012,2.23156,0.232,33,7.521,80.11,17.154
11/10/2012,6.84226,4.63,155.8,9.697,87.75,50.996
11/24/2012,4.47655,11.926,218,9.068,89.926,38.891
12/8/2012,2.12888,7.618,114.4,4.499,98.479,10.271
12/22/2012,1.45236,1.728,32,8.096,91.551,29.842
1/5/2013,1.33386,1.863,51.6,7.453,87.726,2.596
1/19/2013,4.2028,1.141,20.2,4.939,75.36,10.413
2/2/2013,3.66457,5.721,145.6,0.035,88.813,71.104
2/16/2013,4.65676,4.337,103.4,3.306,88.199,42.887
3/2/2013,3.1853,4.257,75.8,3.169,89.146,30.707
3/16/2013,5.46637,2.263,73.6,3.789,74.53,51.831
3/30/2013,2.8413,7.793,178.2,7.086,85.896,38.97
4/13/2013,1.44326,2.641,58.8,11.086,65.388,12.916
4/27/2013,1.31456,1.244,19.6,12.065,67.095,37.218
5/11/2013,1.70352,0.835,36.2,16.182,75.15,23.18
5/25/2013,1.86116,2.795,127.8,7.468,75.292,30.718
6/8/2013,0.56603,0.795,33.8,21.217,74.658,34.218
6/22/2013,0.24503,0.533,56.8,15.192,77.274,16.569
